,Author,Title,Journal,Year of publication,DOI number,Scholar Links
18, Sassy, a gas-filled magnetic separator for the study of fusion reaction products, Nucl Instrum Meth A,1988,https://doi.org/10.1016%2F0168-9002%2888%2990877-7,http://scholar.google.com/scholar_lookup?&title=Sassy%2C%20a%20gas-filled%20magnetic%20separator%20for%20the%20study%20of%20fusion%20reaction%20products&journal=Nucl.%20Instrum.%20Meth.%20A.&doi=10.1016%2F0168-9002%2888%2990877-7&volume=269&issue=1&pages=192-201&publication_year=1988&author=Ghiorso%2CA&author=Yashita%2CS&author=Leino%2CME
19,No Data Found, Gas-filled separators-an overview, Nucl Instrum Meth A,2003,https://doi.org/10.1016%2FS0168-583X%2802%2901901-8,http://scholar.google.com/scholar_lookup?&title=Gas-filled%20separators-an%20overview&journal=Nucl.%20Instrum.%20Meth.%20A.&doi=10.1016%2FS0168-583X%2802%2901901-8&volume=204&pages=129-137&publication_year=2003&author=Leino%2CM
20, Z.G. Gan et al., A gas-filled recoil separator, SHANS Nucl Instrum Meth B,2013,https://doi.org/10.1016%2Fj.nimb.2013.05.062,http://scholar.google.com/scholar_lookup?&title=A%20gas-filled%20recoil%20separator&journal=SHANS.%20Nucl.%20Instrum.%20Meth.%20B.&doi=10.1016%2Fj.nimb.2013.05.062&volume=317&pages=315-318&publication_year=2013&author=Zhang%2CZY&author=Ma%2CL&author=Gan%2CZG
21, H. Jia et al., Ion-optical design and multiparticle tracking in 3D magnetic field of the gas-filled recoil separator SHANS2 at CAFE2, Nucl Instrum Meth A,2021,https://doi.org/10.1016%2Fj.nima.2021.165348,http://scholar.google.com/scholar_lookup?&title=Ion-optical%20design%20and%20multiparticle%20tracking%20in%203D%20magnetic%20field%20of%20the%20gas-filled%20recoil%20separator%20SHANS2%20at%20CAFE2&journal=Nucl.%20Instrum.%20Meth.%20A.&doi=10.1016%2Fj.nima.2021.165348&volume=1004&publication_year=2021&author=Sheng%2CLN&author=Hu%2CQ&author=Jia%2CH
22, W. Greiner, Production of heavy trans-target nuclei in multinucleon transfer reactions, Phys Rev,2013,https://doi.org/10.1103%2FPhysRevC.87.034608,http://scholar.google.com/scholar_lookup?&title=Production%20of%20heavy%20trans-target%20nuclei%20in%20multinucleon%20transfer%20reactions&journal=Phys.%20Rev.%20C&doi=10.1103%2FPhysRevC.87.034608&volume=87&publication_year=2013&author=Zagrebaev%2CVI&author=Greiner%2CW
23, K.J. Moody, Syntheses of transuranium isotopes with atomic numbers Z ≤ 103 in multi-nucleon transfer reactions, Nucl Phys,2015,https://doi.org/10.1016%2Fj.nuclphysa.2015.06.004,http://scholar.google.com/scholar_lookup?&title=Syntheses%20of%20transuranium%20isotopes%20with%20atomic%20numbers%20Z%20%E2%89%A4%20103%20in%20multi-nucleon%20transfer%20reactions&journal=Nucl.%20Phys.%20A&doi=10.1016%2Fj.nuclphysa.2015.06.004&volume=944&pages=117-157&publication_year=2015&author=Kratz%2CJV&author=Loveland%2CW&author=Moody%2CKJ
24, Research program of super-heavy elements and nuclides based on HIAF. SCIENTIA SINICA Physica, Mechanica & Astronomica 50(11),,2020,https://doi.org/10.1360%2FSSPMA-2020-0288,http://scholar.google.com/scholar_lookup?&title=Research%20program%20of%20super-heavy%20elements%20and%20nuclides%20based%20on%20HIAF&journal=SCIENTIA%20SINICA%20Physica%2C%20Mechanica%20%26%20Astronomica&doi=10.1360%2FSSPMA-2020-0288&volume=50&issue=11&publication_year=2020&author=Xiaohong%2CZ&author=Zhiyuan%2CZ&author=Zaiguo%2CG
25, J. Pniewski, Delayed disintegration of a heavy nuclear fragment, Phil Mag,1953,https://doi.org/10.1080%2F14786440308520318,http://scholar.google.com/scholar_lookup?&title=Delayed%20disintegration%20of%20a%20heavy%20nuclear%20fragment&journal=Phil.%20Mag.&doi=10.1080%2F14786440308520318&volume=44&pages=348-350&publication_year=1953&author=Danysz%2CM&author=Pniewski%2CJ
26,No Data Found, 50 years of hypernuclear physics: I, The early experiments Nucl Phys,2005,https://doi.org/10.1016%2Fj.nuclphysa.2005.01.002,http://scholar.google.com/scholar_lookup?&title=50%20years%20of%20hypernuclear%20physics%3A%20I&journal=The%20early%20experiments.%20Nucl.%20Phys.%20A&doi=10.1016%2Fj.nuclphysa.2005.01.002&volume=754&pages=3-13&publication_year=2005&author=Davis%2CDH
27, H. Tamura, Spectroscopy of Λ hypernuclides, Prog Part Nucl Phys,2006,https://doi.org/10.1016%2Fj.ppnp.2005.07.001,http://scholar.google.com/scholar_lookup?&title=Spectroscopy%20of%20%CE%9B%20hypernuclides&journal=Prog.%20Part.%20Nucl.%20Phys.&doi=10.1016%2Fj.ppnp.2005.07.001&volume=57&pages=564-653&publication_year=2006&author=Hashimoto%2CO&author=Tamura%2CH
28, V. Drozd et al., New directions in hypernuclear physics, Nat Rev Phys,2021,https://doi.org/10.1038%2Fs42254-021-00371-w,http://scholar.google.com/scholar_lookup?&title=New%20directions%20in%20hypernuclear%20physics&journal=Nat.%20Rev.%20Phys.&doi=10.1038%2Fs42254-021-00371-w&volume=31&pages=803-813&publication_year=2021&author=Saito%2CTR&author=Dou%2CW&author=Drozd%2CV
29, S.D. Katz et al., The QCD transition temperature: results with physical masses in the continuum limit, Phys Lett,2006,https://doi.org/10.1016%2Fj.physletb.2006.10.021,http://scholar.google.com/scholar_lookup?&title=The%20QCD%20transition%20temperature%3A%20results%20with%20physical%20masses%20in%20the%20continuum%20limit&journal=Phys.%20Lett.%20B&doi=10.1016%2Fj.physletb.2006.10.021&volume=643&pages=46-54&publication_year=2006&author=Aoki%2CY&author=Fodor%2CZ&author=Katz%2CSD
30, Y.F. Deng et al., Nature of the deconfining phase transition in SU(3) lattice gauge theory, Phys Rev Lett,1988,https://doi.org/10.1103%2FPhysRevLett.61.2058,http://scholar.google.com/scholar_lookup?&title=Nature%20of%20the%20deconfining%20phase%20transition%20in%20SU%283%29%20lattice%20gauge%20theory&journal=Phys.%20Rev.%20Lett.&doi=10.1103%2FPhysRevLett.61.2058&volume=61&pages=2058-2061&publication_year=1988&author=Brown%2CR&author=Christ%2CNH&author=Deng%2CYF
31, B. Mohanty et al., Scale for the phase diagram of quantum chromodynamics,,2011,https://doi.org/10.1126%2Fscience.1204621,http://scholar.google.com/scholar_lookup?&title=Scale%20for%20the%20phase%20diagram%20of%20quantum%20chromodynamics&journal=Science&doi=10.1126%2Fscience.1204621&volume=332&pages=1525-1528&publication_year=2011&author=Gupta%2CS&author=Luo%2CXF&author=Mohanty%2CB
32,No Data Found,NuPECC Long Range Plan 2017: perspectives for nuclear physics,,No Data Found,No DOI,No Google Scholar Link
33,No Data Found,Reaching for the horizon: the long rang plan for nuclear science,,No Data Found,No DOI,No Google Scholar Link
34, B. Mohanty, The Little-Bang and the femto-nova in nucleus-nucleus collisions, AAPPS Bull,2021,https://doi.org/10.1007%2Fs43673-021-00002-7,http://scholar.google.com/scholar_lookup?&title=The%20Little-Bang%20and%20the%20femto-nova%20in%20nucleus-nucleus%20collisions&journal=AAPPS%20Bull.&doi=10.1007%2Fs43673-021-00002-7&volume=31&pages=1-16&publication_year=2021&author=Nu%2CXu&author=Fukushima%2CK&author=Mohanty%2CB
35, O. Hashimoto et al., Measurements of interaction cross sections and nuclear radii in the light p-shell region, Phys Rev Lett,1985,https://doi.org/10.1103%2FPhysRevLett.55.2676,http://scholar.google.com/scholar_lookup?&title=Measurements%20of%20interaction%20cross%20sections%20and%20nuclear%20radii%20in%20the%20light%20p-shell%20region&journal=Phys.%20Rev.%20Lett.&doi=10.1103%2FPhysRevLett.55.2676&volume=55&pages=2676-2679&publication_year=1985&author=Tanihata%2CI&author=Hamagaki%2CH&author=Hashimoto%2CO
36, B. Jonson, The neutron halo of extremely neutron-rich nuclei, Europhys Lett,1987,https://doi.org/10.1209%2F0295-5075%2F4%2F4%2F005,http://scholar.google.com/scholar_lookup?&title=The%20neutron%20halo%20of%20extremely%20neutron-rich%20nuclei&journal=Europhys.%20Lett.&doi=10.1209%2F0295-5075%2F4%2F4%2F005&volume=4&issue=4&pages=409-414&publication_year=1987&author=Hansen%2CPG&author=Jonson%2CB
37, M. Winkler et al., The Super-FRS project at GSI, Nucl Instrum Meth B,2003,https://doi.org/10.1016%2FS0168-583X%2802%2901893-1,http://scholar.google.com/scholar_lookup?&title=The%20Super-FRS%20project%20at%20GSI&journal=Nucl.%20Instrum.%20Meth.%20B.&doi=10.1016%2FS0168-583X%2802%2901893-1&volume=204&pages=71-85&publication_year=2003&author=Geissel%2CH&author=Weick%2CH&author=Winkler%2CM
38,No Data Found,Scientific Program of the Super-FRS Collaboration: report of the collaboration to the FAIR management,,No Data Found,No DOI,No Google Scholar Link
39, Z. Harman et al., Isotope shift in the dielectronic recombination of three-electron ANd57+, Phys Rev Lett,2008,https://doi.org/10.1103%2FPhysRevLett.100.073201,http://scholar.google.com/scholar_lookup?&title=Isotope%20shift%20in%20the%20dielectronic%20recombination%20of%20three-electron%20ANd57%2B&journal=Phys.%20Rev.%20Lett.&doi=10.1103%2FPhysRevLett.100.073201&volume=100&publication_year=2008&author=Brandau%2CC&author=Kozhuharov%2CC&author=Harman%2CZ
40, D.A. Orlov et al., Screened radiative corrections from hyperfine-split dielectronic resonances in lithiumlike scandium, Phys Rev Lett,2008,https://doi.org/10.1103%2FPhysRevLett.100.033001,http://scholar.google.com/scholar_lookup?&title=Screened%20radiative%20corrections%20from%20hyperfine-split%20dielectronic%20resonances%20in%20lithiumlike%20scandium&journal=Phys.%20Rev.%20Lett.&doi=10.1103%2FPhysRevLett.100.033001&volume=100&publication_year=2008&author=Lestinsky%2CM&author=Lindroth%2CE&author=Orlov%2CDA
41, D. Bernhardt et al., Storage-ring measurement of the hyperfine induced 47Ti8+ (2s2p 3P0 → 2s2 1S0) transition rate, Phys Rev Lett,2007,https://doi.org/10.1103%2FPhysRevLett.98.033001,http://scholar.google.com/scholar_lookup?&title=Storage-ring%20measurement%20of%20the%20hyperfine%20induced%2047Ti8%2B%20%282s2p%203P0%20%E2%86%92%202s2%201S0%29%20transition%20rate&journal=Phys.%20Rev.%20Lett.&doi=10.1103%2FPhysRevLett.98.033001&volume=98&publication_year=2007&author=Schippers%2CS&author=Schmidt%2CEW&author=Bernhardt%2CD
42, Berlin, 2012),,No Data Found,No DOI,http://scholar.google.com/scholar_lookup?&title=Storage-ring%20studies%20of%20dielectronic%20recombination%20as%20a%20tool%20for%20precision%20spectroscopy&doi=10.1007%2F978-3-642-25569-4_11&pages=283-306&publication_year=2012&author=Brandau%2CC&author=Kozhuharov%2CC
43, B. Aurand et al., Physics book: CRYRING@ESR, Eur Phys J,2016,https://doi.org/10.1140%2Fepjst%2Fe2016-02643-6,http://scholar.google.com/scholar_lookup?&title=Physics%20book%3A%20CRYRING%40ESR&journal=Eur.%20Phys.%20J.%20Special%20Topics&doi=10.1140%2Fepjst%2Fe2016-02643-6&volume=225&pages=797-882&publication_year=2016&author=Lestinsky%2CM&author=Andrianov%2CV&author=Aurand%2CB
