,Author,Title,Journal,Year of publication,DOI number,Scholar Links
65, Y.A. Litvinov et al., A new experimental approach for isochronous mass measurements of short-lived exotic nuclei with the FRS-ESR facility, Hyperfine Interact,2006,https://doi.org/10.1007%2Fs10751-007-9541-4,http://scholar.google.com/scholar_lookup?&title=A%20new%20experimental%20approach%20for%20isochronous%20mass%20measurements%20of%20short-lived%20exotic%20nuclei%20with%20the%20FRS-ESR%20facility&journal=Hyperfine%20Interact.&doi=10.1007%2Fs10751-007-9541-4&volume=173&pages=205-210&publication_year=2006&author=Geissel%2CH&author=Knobel%2CR&author=Litvinov%2CYA
66, Y. Litvinov et al., Nuclear structure studies of short-lived neutron-rich nuclei with the novel large-scale isochronous mass spectrometry at the FRS-ESR facility, Nucl Phys,2008,https://doi.org/10.1016%2Fj.nuclphysa.2008.08.013,http://scholar.google.com/scholar_lookup?&title=Nuclear%20structure%20studies%20of%20short-lived%20neutron-rich%20nuclei%20with%20the%20novel%20large-scale%20isochronous%20mass%20spectrometry%20at%20the%20FRS-ESR%20facility&journal=Nucl.%20Phys.%20A&doi=10.1016%2Fj.nuclphysa.2008.08.013&volume=812&pages=1-12&publication_year=2008&author=Sun%2CB&author=Knobel%2CR&author=Litvinov%2CY
67, Y.H. Zhang et al., First isochronous mass measurements with two time-of-flight detectors at CSRe, Phys Scr,2015,https://doi.org/10.1088%2F0031-8949%2F2015%2FT166%2F014010,http://scholar.google.com/scholar_lookup?&title=First%20isochronous%20mass%20measurements%20with%20two%20time-of-flight%20detectors%20at%20CSRe&journal=Phys.%20Scr.%20T&doi=10.1088%2F0031-8949%2F2015%2FT166%2F014010&volume=166&publication_year=2015&author=Xing%2CYM&author=Wang%2CM&author=Zhang%2CYH
68, M. Wang et al., In-ring velocity measurement for isochronous mass spectrometry, Phys Rev Accel Beams,2021,https://doi.org/10.1103%2FPhysRevAccelBeams.24.042802,http://scholar.google.com/scholar_lookup?&title=In-ring%20velocity%20measurement%20for%20isochronous%20mass%20spectrometry&journal=Phys.%20Rev.%20Accel.%20Beams.&doi=10.1103%2FPhysRevAccelBeams.24.042802&volume=24&publication_year=2021&author=Zhou%2CX&author=Zhang%2CM&author=Wang%2CM
69, M. Wang et al., Characterization of a double time-of-flight detector system for accurate velocity measurement in a storage ring using laser beams, Nucl Instrum Meth A,2019,https://doi.org/10.1016%2Fj.nima.2019.03.058,http://scholar.google.com/scholar_lookup?&title=Characterization%20of%20a%20double%20time-of-flight%20detector%20system%20for%20accurate%20velocity%20measurement%20in%20a%20storage%20ring%20using%20laser%20beams&journal=Nucl.%20Instrum.%20Meth.%20A.&doi=10.1016%2Fj.nima.2019.03.058&volume=931&pages=52-59&publication_year=2019&author=Yan%2CXL&author=Chen%2CRJ&author=Wang%2CM
70, J. Zenihiro, Proton elastic scattering from stable and unstable nuclei- extraction of nuclear densities, Prog Part Nucl Phys,2017,https://doi.org/10.1016%2Fj.ppnp.2017.06.001,http://scholar.google.com/scholar_lookup?&title=Proton%20elastic%20scattering%20from%20stable%20and%20unstable%20nuclei-%20extraction%20of%20nuclear%20densities&journal=Prog.%20Part.%20Nucl.%20Phys.&doi=10.1016%2Fj.ppnp.2017.06.001&volume=97&pages=1-52&publication_year=2017&author=Sakaguchi%2CH&author=Zenihiro%2CJ
71, R.J. Charity, Recent developments for the optical model of nuclei, Prog Part Nucl Phys,2019,https://doi.org/10.1016%2Fj.ppnp.2018.11.002,http://scholar.google.com/scholar_lookup?&title=Recent%20developments%20for%20the%20optical%20model%20of%20nuclei&journal=Prog.%20Part.%20Nucl.%20Phys.&doi=10.1016%2Fj.ppnp.2018.11.002&volume=105&pages=252-299&publication_year=2019&author=Dickhoff%2CWH&author=Charity%2CRJ
72, V. Eremin et al., Experimental techniques for in-ring reaction experiments, Phys Scr,2015,https://doi.org/10.1088%2F0031-8949%2F2015%2FT166%2F014053,http://scholar.google.com/scholar_lookup?&title=Experimental%20techniques%20for%20in-ring%20reaction%20experiments&journal=Phys.%20Scr.%20T&doi=10.1088%2F0031-8949%2F2015%2FT166%2F014053&volume=166&publication_year=2015&author=Mutterer%2CM&author=Egelhof%2CP&author=Eremin%2CV
73, G. Munzenberg et al., Nuclear structure studies by direct reaction experiments with stored radioactive beams, Phys Scr,2003,https://doi.org/10.1238%2FPhysica.Topical.104a00151,http://scholar.google.com/scholar_lookup?&title=Nuclear%20structure%20studies%20by%20direct%20reaction%20experiments%20with%20stored%20radioactive%20beams&journal=Phys.%20Scr.%20T&doi=10.1238%2FPhysica.Topical.104a00151&volume=104&pages=151-159&publication_year=2003&author=Egelhof%2CP&author=Kisselev%2CO&author=Munzenberg%2CG
74, Approaching the Gamow window with stored ions: direct measurement of 124Xe (p, γ) in the ESR storage ring, Phys Rev Lett,2019,https://doi.org/10.1103%2FPhysRevLett.122.092701,http://scholar.google.com/scholar_lookup?&title=Approaching%20the%20Gamow%20window%20with%20stored%20ions%3A%20direct%20measurement%20of%20124Xe%20%28p%2C%20%CE%B3%29%20in%20the%20ESR%20storage%20ring&journal=Phys.%20Rev.%20Lett.&doi=10.1103%2FPhysRevLett.122.092701&volume=122&publication_year=2019&author=Glorius%2CJ&author=Langer%2CC&author=Slavkovska%2CZ
75, H.X. Li et al., The development of in-ring reaction measurements at the HIRFL-CSR, Nucl Instrum Meth A,2019,https://doi.org/10.1016%2Fj.nima.2019.162848,http://scholar.google.com/scholar_lookup?&title=The%20development%20of%20in-ring%20reaction%20measurements%20at%20the%20HIRFL-CSR&journal=Nucl.%20Instrum.%20Meth.%20A.&doi=10.1016%2Fj.nima.2019.162848&volume=948&publication_year=2019&author=Zhang%2CJT&author=Yue%2CK&author=Li%2CHX
76, Measurement of 58Ni(p, p)58Ni elastic scattering at low momentum transfer by using the HIRFL-CSR heavy-ion storage ring, Phys Rev,2019,https://doi.org/10.1103%2FPhysRevC.100.054609,http://scholar.google.com/scholar_lookup?&title=Measurement%20of%2058Ni%28p%2C%20p%2958Ni%20elastic%20scattering%20at%20low%20momentum%20transfer%20by%20using%20the%20HIRFL-CSR%20heavy-ion%20storage%20ring&journal=Phys.%20Rev.%20C&doi=10.1103%2FPhysRevC.100.054609&volume=100&publication_year=2019&author=Yue%2CK&author=Zhang%2CJT&author=Tu%2CXL
